,"('V_LL_1', 'day')","('V_LL_1', 'night')","('CV4', 'day')","('CV4', 'night')","('CV5', 'day')","('CV5', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0.9008,0.8161,0.312,0.7383,0.7504,0.5632,81344.5821,16238.7832,0.7188
1,0,0,0,0,0,1,0.9008,0.8161,0.312,0.7384,0.7504,0.5632,81343.0472,16238.7832,0.7188
2,0,0,0,0,1,0,0.9008,0.8161,0.312,0.7384,0.7504,0.5632,81343.304,16238.7773,0.7188
3,0,0,0,0,1,1,0.9008,0.8161,0.312,0.7384,0.7504,0.5632,81342.3949,16238.7852,0.7188
4,0,0,0,1,0,0,0.9086,0.8161,0.3174,0.74,0.7585,0.5632,81408.9292,16221.4932,0.7238
5,0,0,0,1,0,1,0.9086,0.8161,0.3175,0.74,0.7585,0.5632,81371.1687,16221.4902,0.7238
6,0,0,0,1,1,0,0.9086,0.8161,0.3174,0.74,0.7585,0.5632,81369.4029,16221.4902,0.7238
7,0,0,0,1,1,1,0.9086,0.8161,0.3175,0.74,0.7585,0.5632,81370.7491,16221.4844,0.7238
8,0,0,1,0,0,0,0.9166,0.746,0.3197,0.7444,0.7647,0.5041,111087.8856,16187.1426,0.7567
9,0,0,1,0,0,1,0.9165,0.746,0.3196,0.7442,0.7646,0.5041,111088.2278,16118.5508,0.7565
10,0,0,1,0,1,0,0.9165,0.746,0.3199,0.7442,0.7645,0.5041,111089.6275,16118.5488,0.7564
11,0,0,1,0,1,1,0.917,0.746,0.3206,0.7452,0.7655,0.5041,111086.5867,16118.4395,0.758
12,0,0,1,1,0,0,0.9237,0.7714,0.326,0.7458,0.772,0.5298,100525.6727,16118.5771,0.7555
13,0,0,1,1,0,1,0.9248,0.802,0.3273,0.7472,0.7735,0.5643,88659.3611,16135.5557,0.7569
14,0,0,1,1,1,0,0.9237,0.7714,0.3263,0.7457,0.7719,0.5298,100526.8188,16118.5781,0.7555
15,0,0,1,1,1,1,0.9237,0.7714,0.3264,0.7457,0.772,0.5298,100526.0622,16118.5811,0.7555
16,0,1,0,0,0,0,0.9081,0.8161,0.3167,0.7387,0.7577,0.5632,81351.7043,16221.5342,0.7219
17,0,1,0,0,0,1,0.9081,0.8161,0.3169,0.7387,0.7576,0.5632,81362.635,16221.54,0.7218
18,0,1,0,0,1,0,0.9081,0.8161,0.3167,0.7387,0.7577,0.5632,81351.3219,16238.6855,0.7219
19,0,1,0,0,1,1,0.9082,0.8161,0.317,0.7389,0.7578,0.5632,81352.4979,16290.1387,0.7221
20,0,1,0,1,0,0,0.9081,0.8161,0.317,0.7387,0.7577,0.5632,81367.5806,16221.5361,0.7219
21,0,1,0,1,0,1,0.9081,0.8161,0.317,0.7387,0.7576,0.5632,81365.7347,16221.5391,0.7218
22,0,1,0,1,1,0,0.9081,0.8161,0.317,0.7387,0.7576,0.5632,81368.0017,16221.5371,0.7218
23,0,1,0,1,1,1,0.9081,0.8161,0.317,0.7387,0.7576,0.5632,81366.0252,16221.541,0.7218
24,0,1,1,0,0,0,0.9238,0.7714,0.3259,0.7458,0.772,0.5298,100525.0842,16118.5693,0.7556
25,0,1,1,0,0,1,0.9238,0.7714,0.3261,0.7458,0.772,0.5298,100525.5119,16118.5664,0.7555
26,0,1,1,0,1,0,0.9238,0.7714,0.3262,0.7458,0.772,0.5298,100526.5046,16118.5781,0.7556
27,0,1,1,0,1,1,0.9237,0.7714,0.3264,0.7458,0.772,0.5298,100525.3607,16118.5713,0.7555
28,0,1,1,1,0,0,0.9237,0.7714,0.3262,0.7458,0.772,0.5298,100525.5496,16118.5732,0.7555
29,0,1,1,1,0,1,0.9237,0.7714,0.3263,0.7458,0.772,0.5298,100524.6452,16118.5742,0.7555
30,0,1,1,1,1,0,0.9237,0.7714,0.3266,0.7458,0.772,0.5298,100526.4081,16118.5781,0.7555
31,0,1,1,1,1,1,0.9237,0.7714,0.3266,0.7458,0.772,0.5298,100526.0178,16118.5762,0.7555
32,1,0,0,0,0,0,0.9171,0.746,0.3197,0.7451,0.7656,0.5041,111073.0689,16118.4629,0.7577
33,1,0,0,0,0,1,0.9171,0.7464,0.3197,0.7451,0.7656,0.5041,111065.1561,16118.4609,0.7577
34,1,0,0,0,1,0,0.919,0.8151,0.3226,0.7475,0.7682,0.5625,81900.8867,16135.1367,0.7603
35,1,0,0,0,1,1,0.9171,0.7464,0.3206,0.7451,0.7656,0.5041,111069.8667,16118.4688,0.7577
36,1,0,0,1,0,0,0.9274,0.8411,0.3295,0.7518,0.7775,0.5886,71426.4732,16134.9727,0.7633
37,1,0,0,1,0,1,0.9274,0.8411,0.3296,0.7518,0.7775,0.5886,71419.7669,16134.9697,0.7633
38,1,0,0,1,1,0,0.9273,0.8411,0.3304,0.7518,0.7775,0.5886,71425.1344,16134.9766,0.7633
39,1,0,0,1,1,1,0.9273,0.8411,0.3305,0.7518,0.7775,0.5886,71427.0281,16134.9707,0.7633
40,1,0,1,0,0,0,0.9165,0.7457,0.3205,0.7441,0.7646,0.5041,111087.0026,16118.5605,0.7562
41,1,0,1,0,0,1,0.9166,0.7464,0.3205,0.7441,0.7647,0.5041,111070.6854,16118.5469,0.7563
42,1,0,1,0,1,0,0.9166,0.746,0.3206,0.7442,0.7647,0.5041,111083.2641,16118.5615,0.7564
43,1,0,1,0,1,1,0.9166,0.7457,0.3206,0.7442,0.7647,0.5041,111088.1344,16118.5479,0.7563
44,1,0,1,1,0,0,0.9261,0.8408,0.3297,0.7487,0.7754,0.5882,71379.6091,16118.002,0.759
45,1,0,1,1,0,1,0.9257,0.8418,0.3293,0.7492,0.775,0.5889,70879.4192,16135.5283,0.7593
46,1,0,1,1,1,0,0.9256,0.8408,0.329,0.748,0.7746,0.5882,71381.7013,16135.3096,0.7578
47,1,0,1,1,1,1,0.9256,0.8408,0.3291,0.7479,0.7745,0.5882,71380.7181,16135.3125,0.7577
48,1,1,0,0,0,0,0.9259,0.8418,0.3274,0.7505,0.7755,0.5889,70849.3167,16135.8193,0.7612
49,1,1,0,0,0,1,0.9259,0.8418,0.3276,0.7505,0.7755,0.5889,70849.7261,16135.8174,0.7612
50,1,1,0,0,1,0,0.9259,0.8418,0.3283,0.7505,0.7755,0.5889,70852.4603,16135.8174,0.7612
51,1,1,0,0,1,1,0.9263,0.8418,0.3293,0.7505,0.7761,0.5889,70856.9044,16135.418,0.7612
52,1,1,0,1,0,0,0.9259,0.8418,0.3278,0.7505,0.7754,0.5889,70854.1071,16135.8184,0.7612
53,1,1,0,1,0,1,0.9259,0.8418,0.3278,0.7505,0.7754,0.5889,70852.625,16135.8164,0.7612
54,1,1,0,1,1,0,0.9263,0.8418,0.3294,0.7505,0.7761,0.5889,70856.4307,16135.4248,0.7612
55,1,1,0,1,1,1,0.9264,0.8418,0.3294,0.7505,0.7761,0.5889,70856.0763,16135.4189,0.7612
56,1,1,1,0,0,0,0.9243,0.7714,0.3276,0.7465,0.7729,0.5298,100520.628,16118.3984,0.7565
57,1,1,1,0,0,1,0.9243,0.7714,0.3278,0.7464,0.7729,0.5298,100522.4352,16118.3994,0.7565
58,1,1,1,0,1,0,0.9244,0.7718,0.3276,0.7465,0.7729,0.5298,100498.1932,16118.3896,0.7566
59,1,1,1,0,1,1,0.9256,0.8408,0.3291,0.748,0.7746,0.5882,71367.8575,16135.3047,0.7578
60,1,1,1,1,0,0,0.9257,0.8418,0.3294,0.7492,0.775,0.5889,70874.7421,16135.5195,0.7593
61,1,1,1,1,0,1,0.9249,0.8024,0.3285,0.7473,0.7736,0.5643,88647.6098,16135.6074,0.757
62,1,1,1,1,1,0,0.9252,0.7714,0.329,0.7484,0.7744,0.5298,100522.4837,16118.3125,0.759
63,1,1,1,1,1,1,0.9252,0.7714,0.329,0.7484,0.7744,0.5298,100517.7223,16118.3164,0.759
